Property,Name,Value,Raw_value,Unit,Extracted_name,Specifier
Capacity,LiCoO2,168,168,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",
Capacity,Li3V2(PO4)3 / C ,115.7,115.7,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}, {'C': '1.0'}]",specific capacity
Capacity,Li / PANI–PPDA / Au,103.2,103.2,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0'}, {'Au': '1.0'}]",
Capacity,LiNi0.5Ti0.5O2,50,to 50,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.5', 'Ti': '0.5', 'O': '2.0'}]",
Capacity,LiCoO2,140,∼ 140,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",
Capacity,Li0.6CoO2,110,110,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '0.6', 'Co': '1.0', 'O': '2.0'}]",capacity
Capacity,LiMn2O4,148,148,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",theoretical capacity
Capacity,LiNi0.975Al0.025O2,62.5,"46.2 , 52.0 , 51.2 , and 62.5",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.975', 'Al': '0.025', 'O': '2.0'}]",
Capacity,Li4Ti5O12,161.6,161.6,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",discharge capacity
Capacity,LiCoO2,40,40,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",
Capacity,Li0.1Ni0.9O,1480,to 1480,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '0.1', 'Ni': '0.9', 'O': '1.0'}]",
Capacity,LiMn0.9Fe0.05Mg0.05PO4,90,90,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '0.9', 'Fe': '0.05', 'Mg': '0.05', 'P': '1.0', 'O': '4.0'}]",
Capacity,LiMnPO4,171,171,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '1.0', 'P': '1.0', 'O': '4.0'}]",theoretical capacity
Capacity,LiCoO2,152,152,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",discharge capacities
Capacity,LiV3O8,524,"524 , 419 , 302 , 224 , 158 , and 120",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'V': '3.0', 'O': '8.0'}]",capacities
Capacity,Ag / Li4Ti5O12 ,118,"170 , 147 , 118 , 99 , 88 , 77 , 66 , 56 , 46 and 34",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Ag': '1.0'}, {'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",discharge capacity
Capacity,LiPF6,87,63.1 and 87.0,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'P': '1.0', 'F': '6.0'}]",discharge capacities
Capacity,Li9VAs4,686,686,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '9.0', 'V': '1.0', 'As': '4.0'}]",capacity
Capacity,Li4Ti5O12,90,"47 , 90 and 81",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",reversible capacities
Capacity,LiFePO4,81.5,81.5,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",
Capacity,Li3V2(PO4)3 / rGO,186,170 and 186,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}]",discharge capacities
Capacity,LiNi1 / 3Co1 / 3Mn1 / 3O2,109.8,148.4 and 109.8,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",capacity
Capacity,Li4Ti5O12,177.2,"167.0 , 168.0 , 177.5 , 177.2 , 170.3 and 168.7",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",
Capacity,LinNimCopAl1O48,279,∼ 279,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': 'n', 'Ni': 'm', 'Co': 'p', 'Al': '1.0', 'O': '48.0'}]",
Capacity,LiFePO4 / C ,132,"77 , 141 , 150 , 142 , and 132",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",
Capacity,Li3V2(PO4)3,160,"160 , 188 , 178 , and 191",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}]",
Capacity,LiNi0.5Mn1.5O4,86.4,"136.6 , 134 , 129 , 119.9 , 104.5 and 86.4",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",discharge capacity
Capacity,LiMn2O4,78,and 78,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",capacities
Capacity,LiFePO4,170,170,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",specific capacities
Capacity,Li2.99K0.01V2(PO4)3 / C,135,135,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '3.0', 'O': '12.0', 'Li': '2.99', 'K': '0.01', 'V': '2.0'}, {'C': '1.0'}]",
Capacity,LiFePO4 / C ,166,166,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",capacity
Capacity,Na0.33V2O4 / / LiMn2O4,87.9,87.9,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Na': '0.33', 'V': '2.0', 'O': '4.0'}, {'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",discharge capacity
Capacity,LiFePO4,170,170,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",theoretical capacity
Capacity,LiNi0.1Mn1.9O4 ,64.7,71.0 to 64.7,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.1', 'Mn': '1.9', 'O': '4.0'}]",reversible capacity
Capacity,LiFePO4,139,139 to 124,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",
Capacity,LiNi1 / 3Co1 / 3Mn1 / 3O2,184,∼ 184,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",capacity
Capacity,Li4Ti5O12 / C,46.3,46.3,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}, {'C': '1.0'}]",
Capacity,Li1.025Co0.95V0.05(PO4)1.025 / C ,112.2,112.2,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '1.025', 'O': '4.1', 'Li': '1.025', 'Co': '0.95', 'V': '0.05'}, {'C': '1.0'}]",
Capacity,LiFePO4 / C ,164.9,164.9,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",specific capacities
Capacity,Li Ni0.5Mn1.5O4,86.5,86.5,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",capacity
